Asset_ID,Date,Daily_mileage
1036708,9/1/2023 0:00,0
1051822,9/1/2023 0:00,39
1036708,9/2/2023 0:00,22
1051822,9/2/2023 0:00,30
1036708,9/3/2023 0:00,0
1051822,9/3/2023 0:00,94
1036708,9/4/2023 0:00,0
1051822,9/4/2023 0:00,7
1036708,9/5/2023 0:00,11
1051822,9/5/2023 0:00,37
1036708,9/6/2023 0:00,9
1051822,9/6/2023 0:00,45
1036708,9/7/2023 0:00,0
1051822,9/7/2023 0:00,8
1036708,9/8/2023 0:00,36
1051822,9/8/2023 0:00,29
1036708,9/9/2023 0:00,85
1051822,9/9/2023 0:00,65
1036708,9/10/2023 0:00,91
1051822,9/10/2023 0:00,9
1036708,9/11/2023 0:00,0
1051822,9/11/2023 0:00,23
1036708,9/12/2023 0:00,1
1051822,9/12/2023 0:00,0
1036708,9/13/2023 0:00,2
1051822,9/13/2023 0:00,0
1036708,9/14/2023 0:00,0
1051822,9/14/2023 0:00,0
1036708,9/15/2023 0:00,0
1051822,9/15/2023 0:00,0
1036708,9/16/2023 0:00,10
1051822,9/16/2023 0:00,0
1036708,9/17/2023 0:00,0
1051822,9/17/2023 0:00,286
1036708,9/18/2023 0:00,0
1051822,9/18/2023 0:00,10
1036708,9/19/2023 0:00,0
1051822,9/19/2023 0:00,38
1036708,9/20/2023 0:00,14
1051822,9/20/2023 0:00,29
1036708,9/21/2023 0:00,0
1051822,9/21/2023 0:00,4
1036708,9/22/2023 0:00,0
1051822,9/22/2023 0:00,38
1036708,9/23/2023 0:00,0
1051822,9/23/2023 0:00,45
1036708,9/24/2023 0:00,58
1051822,9/24/2023 0:00,29
1036708,9/25/2023 0:00,1
1051822,9/25/2023 0:00,8
1036708,9/26/2023 0:00,3
1051822,9/26/2023 0:00,42
1036708,9/27/2023 0:00,78
1051822,9/27/2023 0:00,16
1036708,9/28/2023 0:00,0
1051822,9/28/2023 0:00,7
1036708,9/29/2023 0:00,1
1051822,9/29/2023 0:00,63
1036708,9/30/2023 0:00,71
1051822,9/30/2023 0:00,61
1036708,10/1/2023 0:00,7
1051822,10/1/2023 0:00,30
1036708,10/2/2023 0:00,0
1051822,10/2/2023 0:00,0
1036708,10/3/2023 0:00,0
